CountryKey,NOC,Country,Gold,Silver,Bronze,Total,SourceFile,Year,country_full,region,population,area_(sq._mi.),pop._density_(per_sq._mi.),coastline_(coast_area_ratio),net_migration,infant_mortality_(per_1000_births),gdp_($_per_capita),literacy_(percent),phones_(per_1000),arable_(percent),crops_(percent),other_(percent),climate,birthrate,deathrate,agriculture,industry,service
AFGHANISTAN,AFG,AFG,0,0,1,1,London 2012 Olympics Nations Medals.csv,2012,Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38
,AIN,AIN,1,3,1,5,Paris 2024 Olympics_Nations Medals.csv,2024,,,,,,,,,,,,,,,,,,,,
ALBANIA,ALB,ALB,0,0,2,2,Paris 2024 Olympics_Nations Medals.csv,2024,Albania,EASTERN EUROPE,3581655,28748,124.6,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579
ALGERIA,ALG,ALG,2,0,1,3,Atlanta 1996 Olympics Nations Medals.csv,1996,Algeria,NORTHERN AFRICA,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
ALGERIA,ALG,ALG,1,1,3,5,Sydney 2000 Olympics Nations Medals.csv,2000,Algeria,NORTHERN AFRICA,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
ALGERIA,ALG,ALG,1,0,0,1,London 2012 Olympics Nations Medals.csv,2012,Algeria,NORTHERN AFRICA,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
ALGERIA,ALG,ALG,0,2,0,2,Rio 2016 Olympics Nations Medals.csv,2016,Algeria,NORTHERN AFRICA,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
ALGERIA,ALG,ALG,2,0,1,3,Paris 2024 Olympics_Nations Medals.csv,2024,Algeria,NORTHERN AFRICA,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
ARGENTINA,ARG,ARG,0,2,1,3,Atlanta 1996 Olympics Nations Medals.csv,1996,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARGENTINA,ARG,ARG,0,2,2,4,Sydney 2000 Olympics Nations Medals.csv,2000,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARGENTINA,ARG,ARG,2,0,4,6,Athens 2004 Olympics Nations Medals.csv,2004,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARGENTINA,ARG,ARG,1,1,2,4,London 2012 Olympics Nations Medals.csv,2012,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARGENTINA,ARG,ARG,3,1,0,4,Rio 2016 Olympics Nations Medals.csv,2016,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARGENTINA,ARG,ARG,0,1,2,3,Tokyo 2020 Olympics Nations Medals.csv,2020,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARGENTINA,ARG,ARG,1,1,1,3,Paris 2024 Olympics_Nations Medals.csv,2024,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
ARMENIA,ARM,ARM,1,1,0,2,Atlanta 1996 Olympics Nations Medals.csv,1996,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
ARMENIA,ARM,ARM,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv,2000,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
ARMENIA,ARM,ARM,0,1,1,2,London 2012 Olympics Nations Medals.csv,2012,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
ARMENIA,ARM,ARM,1,3,0,4,Rio 2016 Olympics Nations Medals.csv,2016,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
ARMENIA,ARM,ARM,0,2,2,4,Tokyo 2020 Olympics Nations Medals.csv,2020,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
ARMENIA,ARM,ARM,0,3,1,4,Paris 2024 Olympics_Nations Medals.csv,2024,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
AUSTRALIA,AUS,AUS,0,0,1,1,Lillehammer 1994 Olympics Nations Medals.csv,1994,Australia,OCEANIA,20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7
