NOC,Gold,Silver,Bronze,Total,City
USA,36,39,26,101,Athens
CHN,32,17,15,64,Athens
RUS,28,26,36,90,Athens
AUS,17,16,17,50,Athens
JPN,16,9,12,37,Athens
GER,13,16,20,49,Athens
FRA,11,9,13,33,Athens
ITA,10,11,11,32,Athens
KOR,9,12,9,30,Athens
GBR,9,9,12,30,Athens
CUB,9,7,11,27,Athens
HUN,8,6,3,17,Athens
UKR,8,5,9,22,Athens
ROU,8,5,6,19,Athens
GRE,6,6,4,16,Athens
BRA,5,2,3,10,Athens
NOR,5,0,1,6,Athens
NED,4,9,9,22,Athens
SWE,4,2,1,7,Athens
ESP,3,11,6,20,Athens
CAN,3,6,3,12,Athens
TUR,3,4,4,11,Athens
POL,3,2,5,10,Athens
NZL,3,2,0,5,Athens
THA,3,1,4,8,Athens
BLR,2,5,7,14,Athens
AUT,2,4,1,7,Athens
ETH,2,3,2,7,Athens
IRI,2,2,2,6,Athens
SVK,2,2,2,6,Athens
TPE,2,2,1,5,Athens
GEO,2,2,0,4,Athens
BUL,2,1,9,12,Athens
DEN,2,1,5,8,Athens
UZB,2,1,2,5,Athens
JAM,2,1,2,5,Athens
MAR,2,1,0,3,Athens
ARG,2,0,4,6,Athens
CHI,2,0,1,3,Athens
KAZ,1,4,3,8,Athens
KEN,1,4,2,7,Athens
CZE,1,3,5,9,Athens
RSA,1,3,2,6,Athens
CRO,1,2,2,5,Athens
LTU,1,2,0,3,Athens
SUI,1,1,3,5,Athens
EGY,1,1,3,5,Athens
INA,1,1,2,4,Athens
ZIM,1,1,1,3,Athens
AZE,1,0,4,5,Athens
BEL,1,0,2,3,Athens
ISR,1,0,1,2,Athens
BAH,1,0,1,2,Athens
DOM,1,0,0,1,Athens
CMR,1,0,0,1,Athens
UAE,1,0,0,1,Athens
PRK,0,4,1,5,Athens
LAT,0,4,0,4,Athens
MEX,0,3,1,4,Athens
POR,0,2,1,3,Athens
FIN,0,2,0,2,Athens
SCG,0,2,0,2,Athens
SLO,0,1,3,4,Athens
EST,0,1,2,3,Athens
HKG,0,1,0,1,Athens
IND,0,1,0,1,Athens
PAR,0,1,0,1,Athens
COL,0,0,2,2,Athens
NGR,0,0,2,2,Athens
VEN,0,0,2,2,Athens
SYR,0,0,1,1,Athens
TTO,0,0,1,1,Athens
ERI,0,0,1,1,Athens
MGL,0,0,1,1,Athens
USA,44,32,25,101,Atlanta
RUS,26,21,16,63,Atlanta
GER,20,18,27,65,Atlanta
CHN,16,22,12,50,Atlanta
FRA,15,7,15,37,Atlanta
ITA,13,10,12,35,Atlanta
AUS,9,9,23,41,Atlanta
CUB,9,8,8,25,Atlanta
UKR,9,2,12,23,Atlanta
KOR,7,15,5,27,Atlanta
POL,7,5,5,17,Atlanta
HUN,7,4,10,21,Atlanta
ESP,5,6,6,17,Atlanta
ROU,4,7,9,20,Atlanta
NED,4,5,10,19,Atlanta
GRE,4,4,0,8,Atlanta
CZE,4,3,4,11,Atlanta
SUI,4,3,0,7,Atlanta
DEN,4,1,1,6,Atlanta
TUR,4,1,1,6,Atlanta
CAN,3,11,8,22,Atlanta
