NOC,Gold,Silver,Bronze,Total,source_file
USA,36,39,26,101,Athens 2004 Olympics Nations Medals.csv
CHN,32,17,15,64,Athens 2004 Olympics Nations Medals.csv
RUS,28,26,36,90,Athens 2004 Olympics Nations Medals.csv
AUS,17,16,17,50,Athens 2004 Olympics Nations Medals.csv
JPN,16,9,12,37,Athens 2004 Olympics Nations Medals.csv
GER,13,16,20,49,Athens 2004 Olympics Nations Medals.csv
FRA,11,9,13,33,Athens 2004 Olympics Nations Medals.csv
ITA,10,11,11,32,Athens 2004 Olympics Nations Medals.csv
KOR,9,12,9,30,Athens 2004 Olympics Nations Medals.csv
GBR,9,9,12,30,Athens 2004 Olympics Nations Medals.csv
CUB,9,7,11,27,Athens 2004 Olympics Nations Medals.csv
HUN,8,6,3,17,Athens 2004 Olympics Nations Medals.csv
UKR,8,5,9,22,Athens 2004 Olympics Nations Medals.csv
ROU,8,5,6,19,Athens 2004 Olympics Nations Medals.csv
GRE,6,6,4,16,Athens 2004 Olympics Nations Medals.csv
BRA,5,2,3,10,Athens 2004 Olympics Nations Medals.csv
NOR,5,0,1,6,Athens 2004 Olympics Nations Medals.csv
NED,4,9,9,22,Athens 2004 Olympics Nations Medals.csv
SWE,4,2,1,7,Athens 2004 Olympics Nations Medals.csv
ESP,3,11,6,20,Athens 2004 Olympics Nations Medals.csv
CAN,3,6,3,12,Athens 2004 Olympics Nations Medals.csv
TUR,3,4,4,11,Athens 2004 Olympics Nations Medals.csv
POL,3,2,5,10,Athens 2004 Olympics Nations Medals.csv
NZL,3,2,0,5,Athens 2004 Olympics Nations Medals.csv
THA,3,1,4,8,Athens 2004 Olympics Nations Medals.csv
BLR,2,5,7,14,Athens 2004 Olympics Nations Medals.csv
AUT,2,4,1,7,Athens 2004 Olympics Nations Medals.csv
ETH,2,3,2,7,Athens 2004 Olympics Nations Medals.csv
IRI,2,2,2,6,Athens 2004 Olympics Nations Medals.csv
SVK,2,2,2,6,Athens 2004 Olympics Nations Medals.csv
TPE,2,2,1,5,Athens 2004 Olympics Nations Medals.csv
GEO,2,2,0,4,Athens 2004 Olympics Nations Medals.csv
BUL,2,1,9,12,Athens 2004 Olympics Nations Medals.csv
DEN,2,1,5,8,Athens 2004 Olympics Nations Medals.csv
UZB,2,1,2,5,Athens 2004 Olympics Nations Medals.csv
JAM,2,1,2,5,Athens 2004 Olympics Nations Medals.csv
MAR,2,1,0,3,Athens 2004 Olympics Nations Medals.csv
ARG,2,0,4,6,Athens 2004 Olympics Nations Medals.csv
CHI,2,0,1,3,Athens 2004 Olympics Nations Medals.csv
KAZ,1,4,3,8,Athens 2004 Olympics Nations Medals.csv
KEN,1,4,2,7,Athens 2004 Olympics Nations Medals.csv
CZE,1,3,5,9,Athens 2004 Olympics Nations Medals.csv
RSA,1,3,2,6,Athens 2004 Olympics Nations Medals.csv
CRO,1,2,2,5,Athens 2004 Olympics Nations Medals.csv
LTU,1,2,0,3,Athens 2004 Olympics Nations Medals.csv
SUI,1,1,3,5,Athens 2004 Olympics Nations Medals.csv
EGY,1,1,3,5,Athens 2004 Olympics Nations Medals.csv
INA,1,1,2,4,Athens 2004 Olympics Nations Medals.csv
ZIM,1,1,1,3,Athens 2004 Olympics Nations Medals.csv
AZE,1,0,4,5,Athens 2004 Olympics Nations Medals.csv
BEL,1,0,2,3,Athens 2004 Olympics Nations Medals.csv
ISR,1,0,1,2,Athens 2004 Olympics Nations Medals.csv
BAH,1,0,1,2,Athens 2004 Olympics Nations Medals.csv
DOM,1,0,0,1,Athens 2004 Olympics Nations Medals.csv
CMR,1,0,0,1,Athens 2004 Olympics Nations Medals.csv
UAE,1,0,0,1,Athens 2004 Olympics Nations Medals.csv
PRK,0,4,1,5,Athens 2004 Olympics Nations Medals.csv
LAT,0,4,0,4,Athens 2004 Olympics Nations Medals.csv
MEX,0,3,1,4,Athens 2004 Olympics Nations Medals.csv
POR,0,2,1,3,Athens 2004 Olympics Nations Medals.csv
FIN,0,2,0,2,Athens 2004 Olympics Nations Medals.csv
SCG,0,2,0,2,Athens 2004 Olympics Nations Medals.csv
SLO,0,1,3,4,Athens 2004 Olympics Nations Medals.csv
EST,0,1,2,3,Athens 2004 Olympics Nations Medals.csv
HKG,0,1,0,1,Athens 2004 Olympics Nations Medals.csv
IND,0,1,0,1,Athens 2004 Olympics Nations Medals.csv
PAR,0,1,0,1,Athens 2004 Olympics Nations Medals.csv
COL,0,0,2,2,Athens 2004 Olympics Nations Medals.csv
NGR,0,0,2,2,Athens 2004 Olympics Nations Medals.csv
VEN,0,0,2,2,Athens 2004 Olympics Nations Medals.csv
SYR,0,0,1,1,Athens 2004 Olympics Nations Medals.csv
TTO,0,0,1,1,Athens 2004 Olympics Nations Medals.csv
ERI,0,0,1,1,Athens 2004 Olympics Nations Medals.csv
MGL,0,0,1,1,Athens 2004 Olympics Nations Medals.csv
USA,44,32,25,101,Atlanta 1996 Olympics Nations Medals.csv
RUS,26,21,16,63,Atlanta 1996 Olympics Nations Medals.csv
GER,20,18,27,65,Atlanta 1996 Olympics Nations Medals.csv
CHN,16,22,12,50,Atlanta 1996 Olympics Nations Medals.csv
FRA,15,7,15,37,Atlanta 1996 Olympics Nations Medals.csv
ITA,13,10,12,35,Atlanta 1996 Olympics Nations Medals.csv
AUS,9,9,23,41,Atlanta 1996 Olympics Nations Medals.csv
CUB,9,8,8,25,Atlanta 1996 Olympics Nations Medals.csv
UKR,9,2,12,23,Atlanta 1996 Olympics Nations Medals.csv
KOR,7,15,5,27,Atlanta 1996 Olympics Nations Medals.csv
POL,7,5,5,17,Atlanta 1996 Olympics Nations Medals.csv
HUN,7,4,10,21,Atlanta 1996 Olympics Nations Medals.csv
ESP,5,6,6,17,Atlanta 1996 Olympics Nations Medals.csv
ROU,4,7,9,20,Atlanta 1996 Olympics Nations Medals.csv
NED,4,5,10,19,Atlanta 1996 Olympics Nations Medals.csv
GRE,4,4,0,8,Atlanta 1996 Olympics Nations Medals.csv
CZE,4,3,4,11,Atlanta 1996 Olympics Nations Medals.csv
SUI,4,3,0,7,Atlanta 1996 Olympics Nations Medals.csv
DEN,4,1,1,6,Atlanta 1996 Olympics Nations Medals.csv
TUR,4,1,1,6,Atlanta 1996 Olympics Nations Medals.csv
CAN,3,11,8,22,Atlanta 1996 Olympics Nations Medals.csv
BUL,3,7,5,15,Atlanta 1996 Olympics Nations Medals.csv
JPN,3,6,5,14,Atlanta 1996 Olympics Nations Medals.csv
KAZ,3,4,4,11,Atlanta 1996 Olympics Nations Medals.csv
BRA,3,3,9,15,Atlanta 1996 Olympics Nations Medals.csv
NZL,3,2,1,6,Atlanta 1996 Olympics Nations Medals.csv
RSA,3,1,1,5,Atlanta 1996 Olympics Nations Medals.csv
IRL,3,0,1,4,Atlanta 1996 Olympics Nations Medals.csv
SWE,2,4,2,8,Atlanta 1996 Olympics Nations Medals.csv
NOR,2,2,3,7,Atlanta 1996 Olympics Nations Medals.csv
BEL,2,2,2,6,Atlanta 1996 Olympics Nations Medals.csv
NGR,2,1,3,6,Atlanta 1996 Olympics Nations Medals.csv
PRK,2,1,2,5,Atlanta 1996 Olympics Nations Medals.csv
ETH,2,0,1,3,Atlanta 1996 Olympics Nations Medals.csv
ALG,2,0,1,3,Atlanta 1996 Olympics Nations Medals.csv
GBR,1,8,6,15,Atlanta 1996 Olympics Nations Medals.csv
BLR,1,6,8,15,Atlanta 1996 Olympics Nations Medals.csv
KEN,1,4,3,8,Atlanta 1996 Olympics Nations Medals.csv
JAM,1,3,2,6,Atlanta 1996 Olympics Nations Medals.csv
FIN,1,2,1,4,Atlanta 1996 Olympics Nations Medals.csv
YUG,1,1,2,4,Atlanta 1996 Olympics Nations Medals.csv
INA,1,1,2,4,Atlanta 1996 Olympics Nations Medals.csv
SVK,1,1,1,3,Atlanta 1996 Olympics Nations Medals.csv
IRI,1,1,1,3,Atlanta 1996 Olympics Nations Medals.csv
CRO,1,1,0,2,Atlanta 1996 Olympics Nations Medals.csv
ARM,1,1,0,2,Atlanta 1996 Olympics Nations Medals.csv
POR,1,0,1,2,Atlanta 1996 Olympics Nations Medals.csv
THA,1,0,1,2,Atlanta 1996 Olympics Nations Medals.csv
HKG,1,0,0,1,Atlanta 1996 Olympics Nations Medals.csv
CRC,1,0,0,1,Atlanta 1996 Olympics Nations Medals.csv
BDI,1,0,0,1,Atlanta 1996 Olympics Nations Medals.csv
SYR,1,0,0,1,Atlanta 1996 Olympics Nations Medals.csv
ECU,1,0,0,1,Atlanta 1996 Olympics Nations Medals.csv
ARG,0,2,1,3,Atlanta 1996 Olympics Nations Medals.csv
SLO,0,2,0,2,Atlanta 1996 Olympics Nations Medals.csv
NAM,0,2,0,2,Atlanta 1996 Olympics Nations Medals.csv
